linh_vuc,dataset_name,type_file,link
Xã Hội,Lĩnh vực thành lập và hoạt động của liên hiệp hợp tác xã,XLSX,https://opendata.thanhhoa.gov.vn/dataset/2a870808-34d7-4909-8581-1964f65db948/resource/eb1883cb-24bd-40c7-8b13-0c70115afc1a/download/lnh-vc-thanh-lp-va-hot-ng-ca-lien-hip-hp-tac-xa.xlsx
Giáo dục,Danh sách trường trung học phổ thông tỉnh Nghệ An năm học 2019-2020,XLSX,https://opendata.thanhhoa.gov.vn/dataset/8d18e7b1-24f9-4be6-8be4-9e3994bff921/resource/613d5437-04dd-456b-b509-e60781c7bbf6/download/s-gdt-ngh-an_thpt.xlsx
Giáo dục,Thông tin chất lượng đào tạo thực tế của Trường ĐH Hồng Đức năm học 2021-2022,PDF,https://opendata.thanhhoa.gov.vn/dataset/96c7c329-c00e-4971-b94a-0b1e58078f1d/resource/a128da93-b51a-43b4-b254-1b112eee637f/download/thong-tin-cht-lng-ao-to-thc-t-ca-trng-h-hng-c-nm-hc-2021-2022.pdf
Tài nguyên và môi trường,Danh sách các cống,XLS,https://opendata.thanhhoa.gov.vn/dataset/61586a75-b562-446e-ac38-5339cace6ac0/resource/34dae23f-c240-4ab2-899d-507929d5caef/download/danh-sach-cac-cng.xls
Tài nguyên và môi trường,Danh sách các trạm khí tượng,XLSX,https://opendata.thanhhoa.gov.vn/dataset/ab3a6307-5f76-4268-bb7a-0d777333d2c8/resource/695a4ab5-f11d-4555-9c7d-200d11da6ab7/download/trm-khi-tng.xlsx
Tài nguyên và môi trường,Danh sách các trạm thủy văn,XLSX,https://opendata.thanhhoa.gov.vn/dataset/681ab40c-4812-46d2-882f-29ddec1ec0a3/resource/e63184bb-f42f-4c05-ad7a-41383550ff71/download/trm-thu-vn.xlsx
Tài nguyên và môi trường,Danh sách điểm khai thác,XLS,https://opendata.thanhhoa.gov.vn/dataset/88dd5d36-0237-4343-a5e9-561cd26822b3/resource/6990ac9a-9a2b-4c93-9890-7c3911d45012/download/danh-sanh-im-khai-thac.xls
Tài nguyên và môi trường,Danh sách điểm khai thác,XLS,https://opendata.thanhhoa.gov.vn/dataset/88dd5d36-0237-4343-a5e9-561cd26822b3/resource/5a551b7e-c0aa-4857-936e-cd303f0cd830/download/danh-sanh-im-khai-thac.xls
Tài nguyên và môi trường,Danh sách các hồ tự nhiên trên địa bàn tỉnh Thanh Hóa,XLS,https://opendata.thanhhoa.gov.vn/dataset/b1dddade-f3c3-4787-81c9-f5db4e88eeea/resource/6a76a084-f0bd-43fa-8d6a-ba7139fa24a3/download/danh-sach-cac-h-t-nhien-tren-a-ban-tnh-thanh-hoa.xls
Tài nguyên và môi trường,Danh sách các đập tràn trên sông,XLS,https://opendata.thanhhoa.gov.vn/dataset/b55641e7-4640-4a32-b09d-4174392623a8/resource/8777d930-4137-4517-830e-3f2cc11fc02e/download/bao-cao-ngan-sach-cong-dan-tng-hp-can-i-thu-chi-ngan-sach-tnh-nm-2021.xls
Tài nguyên và môi trường,Danh sách các đập tràn trên sông,XLS,https://opendata.thanhhoa.gov.vn/dataset/b55641e7-4640-4a32-b09d-4174392623a8/resource/8c567551-eb5d-46ee-a347-f27029b79902/download/danh-sach-cac-p-tran-tren-song.xls
Tài nguyên và môi trường,Danh sách các lỗ khoan - giếng,XLS,https://opendata.thanhhoa.gov.vn/dataset/7c4c8301-3bda-46cb-966e-47bb4a91a1f9/resource/20e65599-6fcd-4adc-86ab-6ad3c8f7c889/download/danh-sach-cac-l-khoan-ging.xls
Tài nguyên và môi trường,Thông tin trạm khảo sát môi trường biển,XLSX,https://opendata.thanhhoa.gov.vn/dataset/96f26e9b-0086-4897-902d-4efbfb884482/resource/620b6c07-73c0-43ae-b0ff-ba9076d5b6a1/download/danh-sach-trm-kho-sat-moi-trng-nc-vung-b-bin-thanh-hoa.xlsx
Tài nguyên và môi trường,Danh sách sông suối,XLSX,https://opendata.thanhhoa.gov.vn/dataset/584f3fe5-2cf2-474a-affd-a3fd8a3ddd36/resource/8c3eb9f0-30a7-47a5-ad97-781265887063/download/song-sui.xlsx
Tài nguyên và môi trường,Danh sách điểm xả thải,XLSX,https://opendata.thanhhoa.gov.vn/dataset/93374e27-1ab1-4499-84cc-e3e16d14e258/resource/f67b7cf6-b22b-4757-a520-0c52eb17ce39/download/x-thi.xlsx
Tài nguyên và môi trường,Thông tin trạm khảo sát trầm tích,XLSX,https://opendata.thanhhoa.gov.vn/dataset/c7de4308-6166-4fac-81eb-b0e5ed15793b/resource/ab018c04-0961-4e59-ad1e-4dfc61e81577/download/trm-tich.xlsx
Xây dựng,Cấp chứng chỉ năng lực hoạt động xây dựng và chứng chỉ hành nghề hoạt động xây dựng,PDF,https://opendata.thanhhoa.gov.vn/dataset/36f8b258-e0a3-46ff-8445-0ce92b4b916f/resource/9b5025c7-0373-4e8c-83ea-aebae47fa5db/download/quyt-nh-cp-ccnl-21-9-2022.pdf
Xây dựng,Cấp chứng chỉ năng lực hoạt động xây dựng và chứng chỉ hành nghề hoạt động xây dựng,PDF,https://opendata.thanhhoa.gov.vn/dataset/36f8b258-e0a3-46ff-8445-0ce92b4b916f/resource/1acdee90-9eba-445e-b299-f8409013e36d/download/quyt-nh-cp-ccnl-14-9-2022.pdf
